id,texto
1,Desconto de 50% em eletrônicos #Promoção
2,Galaxy S30 é o melhor celular #Samsung
3,Apple anunciou novos recursos #Tecnologia
4,Não gostei do atendimento da loja #Reclamação
5,Samsung lançou um celular incrível #Tech
6,Comprei um tênis novo da Adidas #Fashion
7,Adidas com ofertas incríveis hoje #Sale
8,Adidas com ofertas incríveis hoje #Sale
9,Samsung lançou um celular incrível #Tech
10,Promoção imperdível da Nike! #Desconto
11,Desconto de 50% em eletrônicos #Promoção
12,Galaxy S30 é o melhor celular #Samsung
13,Promoção imperdível da Nike! #Desconto
14,Nike lançou uma nova coleção #Moda
15,Adidas com ofertas incríveis hoje #Sale
16,Comprei um tênis novo da Adidas #Fashion
17,Adidas com ofertas incríveis hoje #Sale
18,Adidas com ofertas incríveis hoje #Sale
19,Galaxy S30 é o melhor celular #Samsung
20,Samsung lançou um celular incrível #Tech
21,Adidas com ofertas incríveis hoje #Sale
22,Não gostei do atendimento da loja #Reclamação
23,Amei o novo iPhone! #Apple
24,Nike lançou uma nova coleção #Moda
25,Apple anunciou novos recursos #Tecnologia
26,Adidas com ofertas incríveis hoje #Sale
27,Amei o novo iPhone! #Apple
28,Nike lançou uma nova coleção #Moda
29,Não gostei do atendimento da loja #Reclamação
30,Desconto de 50% em eletrônicos #Promoção
31,Não gostei do atendimento da loja #Reclamação
32,Samsung lançou um celular incrível #Tech
33,Amei o novo iPhone! #Apple
34,Promoção imperdível da Nike! #Desconto
35,Samsung lançou um celular incrível #Tech
36,Comprei um tênis novo da Adidas #Fashion
37,Promoção imperdível da Nike! #Desconto
38,Apple anunciou novos recursos #Tecnologia
39,Comprei um tênis novo da Adidas #Fashion
40,Apple anunciou novos recursos #Tecnologia
41,Não gostei do atendimento da loja #Reclamação
42,Nike lançou uma nova coleção #Moda
43,Galaxy S30 é o melhor celular #Samsung
44,Nike lançou uma nova coleção #Moda
45,Galaxy S30 é o melhor celular #Samsung
46,Comprei um tênis novo da Adidas #Fashion
47,Nike lançou uma nova coleção #Moda
48,Comprei um tênis novo da Adidas #Fashion
49,Nike lançou uma nova coleção #Moda
50,Nike lançou uma nova coleção #Moda
51,Adidas com ofertas incríveis hoje #Sale
52,Comprei um tênis novo da Adidas #Fashion
53,Samsung lançou um celular incrível #Tech
54,Não gostei do atendimento da loja #Reclamação
55,Galaxy S30 é o melhor celular #Samsung
56,Desconto de 50% em eletrônicos #Promoção
57,Promoção imperdível da Nike! #Desconto
58,Apple anunciou novos recursos #Tecnologia
59,Nike lançou uma nova coleção #Moda
60,Amei o novo iPhone! #Apple
61,Amei o novo iPhone! #Apple
62,Não gostei do atendimento da loja #Reclamação
63,Promoção imperdível da Nike! #Desconto
64,Promoção imperdível da Nike! #Desconto
65,Amei o novo iPhone! #Apple
66,Não gostei do atendimento da loja #Reclamação
67,Comprei um tênis novo da Adidas #Fashion
68,Samsung lançou um celular incrível #Tech
69,Apple anunciou novos recursos #Tecnologia
70,Comprei um tênis novo da Adidas #Fashion
71,Adidas com ofertas incríveis hoje #Sale
72,Galaxy S30 é o melhor celular #Samsung
73,Adidas com ofertas incríveis hoje #Sale
74,Amei o novo iPhone! #Apple
75,Adidas com ofertas incríveis hoje #Sale
76,Desconto de 50% em eletrônicos #Promoção
77,Apple anunciou novos recursos #Tecnologia
78,Apple anunciou novos recursos #Tecnologia
79,Galaxy S30 é o melhor celular #Samsung
80,Adidas com ofertas incríveis hoje #Sale
81,Galaxy S30 é o melhor celular #Samsung
82,Amei o novo iPhone! #Apple
83,Comprei um tênis novo da Adidas #Fashion
84,Adidas com ofertas incríveis hoje #Sale
85,Adidas com ofertas incríveis hoje #Sale
86,Nike lançou uma nova coleção #Moda
87,Samsung lançou um celular incrível #Tech
88,Comprei um tênis novo da Adidas #Fashion
89,Apple anunciou novos recursos #Tecnologia
90,Galaxy S30 é o melhor celular #Samsung
91,Apple anunciou novos recursos #Tecnologia
92,Samsung lançou um celular incrível #Tech
93,Não gostei do atendimento da loja #Reclamação
94,Apple anunciou novos recursos #Tecnologia
95,Adidas com ofertas incríveis hoje #Sale
96,Adidas com ofertas incríveis hoje #Sale
97,Não gostei do atendimento da loja #Reclamação
98,Adidas com ofertas incríveis hoje #Sale
99,Adidas com ofertas incríveis hoje #Sale
100,Amei o novo iPhone! #Apple
101,Amei o novo iPhone! #Apple
102,Apple anunciou novos recursos #Tecnologia
103,Promoção imperdível da Nike! #Desconto
104,Não gostei do atendimento da loja #Reclamação
105,Samsung lançou um celular incrível #Tech
106,Apple anunciou novos recursos #Tecnologia
107,Nike lançou uma nova coleção #Moda
108,Apple anunciou novos recursos #Tecnologia
109,Samsung lançou um celular incrível #Tech
110,Samsung lançou um celular incrível #Tech
111,Apple anunciou novos recursos #Tecnologia
112,Galaxy S30 é o melhor celular #Samsung
113,Não gostei do atendimento da loja #Reclamação
114,Desconto de 50% em eletrônicos #Promoção
115,Apple anunciou novos recursos #Tecnologia
116,Nike lançou uma nova coleção #Moda
117,Apple anunciou novos recursos #Tecnologia
118,Apple anunciou novos recursos #Tecnologia
119,Samsung lançou um celular incrível #Tech
120,Samsung lançou um celular incrível #Tech
121,Adidas com ofertas incríveis hoje #Sale
122,Adidas com ofertas incríveis hoje #Sale
123,Desconto de 50% em eletrônicos #Promoção
124,Promoção imperdível da Nike! #Desconto
125,Apple anunciou novos recursos #Tecnologia
126,Desconto de 50% em eletrônicos #Promoção
127,Promoção imperdível da Nike! #Desconto
128,Apple anunciou novos recursos #Tecnologia
129,Samsung lançou um celular incrível #Tech
130,Comprei um tênis novo da Adidas #Fashion
131,Samsung lançou um celular incrível #Tech
132,Comprei um tênis novo da Adidas #Fashion
133,Comprei um tênis novo da Adidas #Fashion
134,Samsung lançou um celular incrível #Tech
135,Galaxy S30 é o melhor celular #Samsung
136,Galaxy S30 é o melhor celular #Samsung
137,Samsung lançou um celular incrível #Tech
138,Adidas com ofertas incríveis hoje #Sale
139,Apple anunciou novos recursos #Tecnologia
140,Apple anunciou novos recursos #Tecnologia
141,Não gostei do atendimento da loja #Reclamação
142,Promoção imperdível da Nike! #Desconto
143,Comprei um tênis novo da Adidas #Fashion
144,Não gostei do atendimento da loja #Reclamação
145,Não gostei do atendimento da loja #Reclamação
146,Comprei um tênis novo da Adidas #Fashion
147,Comprei um tênis novo da Adidas #Fashion
148,Nike lançou uma nova coleção #Moda
149,Adidas com ofertas incríveis hoje #Sale
150,Galaxy S30 é o melhor celular #Samsung
151,Amei o novo iPhone! #Apple
152,Adidas com ofertas incríveis hoje #Sale
153,Não gostei do atendimento da loja #Reclamação
154,Apple anunciou novos recursos #Tecnologia
155,Samsung lançou um celular incrível #Tech
156,Não gostei do atendimento da loja #Reclamação
157,Samsung lançou um celular incrível #Tech
158,Galaxy S30 é o melhor celular #Samsung
159,Não gostei do atendimento da loja #Reclamação
160,Samsung lançou um celular incrível #Tech
161,Não gostei do atendimento da loja #Reclamação
162,Comprei um tênis novo da Adidas #Fashion
163,Galaxy S30 é o melhor celular #Samsung
164,Amei o novo iPhone! #Apple
165,Amei o novo iPhone! #Apple
166,Nike lançou uma nova coleção #Moda
167,Comprei um tênis novo da Adidas #Fashion
168,Samsung lançou um celular incrível #Tech
169,Promoção imperdível da Nike! #Desconto
170,Apple anunciou novos recursos #Tecnologia
171,Promoção imperdível da Nike! #Desconto
172,Desconto de 50% em eletrônicos #Promoção
173,Nike lançou uma nova coleção #Moda
174,Amei o novo iPhone! #Apple
175,Galaxy S30 é o melhor celular #Samsung
176,Não gostei do atendimento da loja #Reclamação
177,Amei o novo iPhone! #Apple
178,Desconto de 50% em eletrônicos #Promoção
179,Não gostei do atendimento da loja #Reclamação
180,Promoção imperdível da Nike! #Desconto
181,Amei o novo iPhone! #Apple
182,Desconto de 50% em eletrônicos #Promoção
183,Promoção imperdível da Nike! #Desconto
184,Não gostei do atendimento da loja #Reclamação
185,Comprei um tênis novo da Adidas #Fashion
186,Apple anunciou novos recursos #Tecnologia
187,Promoção imperdível da Nike! #Desconto
188,Apple anunciou novos recursos #Tecnologia
189,Apple anunciou novos recursos #Tecnologia
190,Não gostei do atendimento da loja #Reclamação
191,Comprei um tênis novo da Adidas #Fashion
192,Comprei um tênis novo da Adidas #Fashion
193,Galaxy S30 é o melhor celular #Samsung
194,Nike lançou uma nova coleção #Moda
195,Adidas com ofertas incríveis hoje #Sale
196,Galaxy S30 é o melhor celular #Samsung
197,Amei o novo iPhone! #Apple
198,Desconto de 50% em eletrônicos #Promoção
199,Não gostei do atendimento da loja #Reclamação
200,Samsung lançou um celular incrível #Tech
201,Desconto de 50% em eletrônicos #Promoção
202,Adidas com ofertas incríveis hoje #Sale
203,Desconto de 50% em eletrônicos #Promoção
204,Apple anunciou novos recursos #Tecnologia
205,Comprei um tênis novo da Adidas #Fashion
206,Comprei um tênis novo da Adidas #Fashion
207,Amei o novo iPhone! #Apple
208,Samsung lançou um celular incrível #Tech
209,Promoção imperdível da Nike! #Desconto
210,Desconto de 50% em eletrônicos #Promoção
211,Promoção imperdível da Nike! #Desconto
212,Apple anunciou novos recursos #Tecnologia
213,Não gostei do atendimento da loja #Reclamação
214,Comprei um tênis novo da Adidas #Fashion
215,Apple anunciou novos recursos #Tecnologia
216,Samsung lançou um celular incrível #Tech
217,Galaxy S30 é o melhor celular #Samsung
218,Nike lançou uma nova coleção #Moda
219,Desconto de 50% em eletrônicos #Promoção
220,Apple anunciou novos recursos #Tecnologia
221,Galaxy S30 é o melhor celular #Samsung
222,Samsung lançou um celular incrível #Tech
223,Não gostei do atendimento da loja #Reclamação
224,Desconto de 50% em eletrônicos #Promoção
225,Não gostei do atendimento da loja #Reclamação
226,Amei o novo iPhone! #Apple
227,Não gostei do atendimento da loja #Reclamação
228,Galaxy S30 é o melhor celular #Samsung
229,Adidas com ofertas incríveis hoje #Sale
230,Amei o novo iPhone! #Apple
231,Samsung lançou um celular incrível #Tech
232,Promoção imperdível da Nike! #Desconto
233,Galaxy S30 é o melhor celular #Samsung
234,Desconto de 50% em eletrônicos #Promoção
235,Samsung lançou um celular incrível #Tech
236,Amei o novo iPhone! #Apple
237,Nike lançou uma nova coleção #Moda
238,Adidas com ofertas incríveis hoje #Sale
239,Apple anunciou novos recursos #Tecnologia
240,Samsung lançou um celular incrível #Tech
241,Adidas com ofertas incríveis hoje #Sale
242,Adidas com ofertas incríveis hoje #Sale
243,Comprei um tênis novo da Adidas #Fashion
244,Não gostei do atendimento da loja #Reclamação
245,Galaxy S30 é o melhor celular #Samsung
246,Desconto de 50% em eletrônicos #Promoção
247,Apple anunciou novos recursos #Tecnologia
248,Amei o novo iPhone! #Apple
249,Comprei um tênis novo da Adidas #Fashion
250,Promoção imperdível da Nike! #Desconto
251,Apple anunciou novos recursos #Tecnologia
252,Samsung lançou um celular incrível #Tech
253,Nike lançou uma nova coleção #Moda
254,Nike lançou uma nova coleção #Moda
255,Comprei um tênis novo da Adidas #Fashion
256,Adidas com ofertas incríveis hoje #Sale
257,Apple anunciou novos recursos #Tecnologia
258,Apple anunciou novos recursos #Tecnologia
259,Desconto de 50% em eletrônicos #Promoção
260,Desconto de 50% em eletrônicos #Promoção
261,Galaxy S30 é o melhor celular #Samsung
262,Adidas com ofertas incríveis hoje #Sale
263,Não gostei do atendimento da loja #Reclamação
264,Nike lançou uma nova coleção #Moda
265,Não gostei do atendimento da loja #Reclamação
266,Nike lançou uma nova coleção #Moda
267,Galaxy S30 é o melhor celular #Samsung
268,Promoção imperdível da Nike! #Desconto
269,Adidas com ofertas incríveis hoje #Sale
270,Adidas com ofertas incríveis hoje #Sale
271,Nike lançou uma nova coleção #Moda
272,Não gostei do atendimento da loja #Reclamação
273,Amei o novo iPhone! #Apple
274,Galaxy S30 é o melhor celular #Samsung
275,Samsung lançou um celular incrível #Tech
276,Nike lançou uma nova coleção #Moda
277,Promoção imperdível da Nike! #Desconto
278,Amei o novo iPhone! #Apple
279,Não gostei do atendimento da loja #Reclamação
280,Promoção imperdível da Nike! #Desconto
281,Comprei um tênis novo da Adidas #Fashion
282,Comprei um tênis novo da Adidas #Fashion
283,Amei o novo iPhone! #Apple
284,Apple anunciou novos recursos #Tecnologia
285,Samsung lançou um celular incrível #Tech
286,Galaxy S30 é o melhor celular #Samsung
287,Adidas com ofertas incríveis hoje #Sale
288,Não gostei do atendimento da loja #Reclamação
289,Nike lançou uma nova coleção #Moda
290,Apple anunciou novos recursos #Tecnologia
291,Samsung lançou um celular incrível #Tech
292,Nike lançou uma nova coleção #Moda
293,Nike lançou uma nova coleção #Moda
294,Adidas com ofertas incríveis hoje #Sale
295,Galaxy S30 é o melhor celular #Samsung
296,Amei o novo iPhone! #Apple
297,Comprei um tênis novo da Adidas #Fashion
298,Adidas com ofertas incríveis hoje #Sale
299,Galaxy S30 é o melhor celular #Samsung
300,Amei o novo iPhone! #Apple
301,Nike lançou uma nova coleção #Moda
302,Samsung lançou um celular incrível #Tech
303,Comprei um tênis novo da Adidas #Fashion
304,Amei o novo iPhone! #Apple
305,Adidas com ofertas incríveis hoje #Sale
306,Adidas com ofertas incríveis hoje #Sale
307,Samsung lançou um celular incrível #Tech
308,Desconto de 50% em eletrônicos #Promoção
309,Galaxy S30 é o melhor celular #Samsung
310,Nike lançou uma nova coleção #Moda
311,Samsung lançou um celular incrível #Tech
312,Promoção imperdível da Nike! #Desconto
313,Não gostei do atendimento da loja #Reclamação
314,Apple anunciou novos recursos #Tecnologia
315,Samsung lançou um celular incrível #Tech
316,Nike lançou uma nova coleção #Moda
317,Comprei um tênis novo da Adidas #Fashion
318,Amei o novo iPhone! #Apple
319,Nike lançou uma nova coleção #Moda
320,Desconto de 50% em eletrônicos #Promoção
321,Promoção imperdível da Nike! #Desconto
322,Apple anunciou novos recursos #Tecnologia
323,Apple anunciou novos recursos #Tecnologia
324,Nike lançou uma nova coleção #Moda
325,Não gostei do atendimento da loja #Reclamação
326,Comprei um tênis novo da Adidas #Fashion
327,Nike lançou uma nova coleção #Moda
328,Samsung lançou um celular incrível #Tech
329,Amei o novo iPhone! #Apple
330,Nike lançou uma nova coleção #Moda
331,Apple anunciou novos recursos #Tecnologia
332,Não gostei do atendimento da loja #Reclamação
333,Galaxy S30 é o melhor celular #Samsung
334,Nike lançou uma nova coleção #Moda
335,Samsung lançou um celular incrível #Tech
336,Samsung lançou um celular incrível #Tech
337,Apple anunciou novos recursos #Tecnologia
338,Apple anunciou novos recursos #Tecnologia
339,Amei o novo iPhone! #Apple
340,Adidas com ofertas incríveis hoje #Sale
341,Nike lançou uma nova coleção #Moda
342,Nike lançou uma nova coleção #Moda
343,Comprei um tênis novo da Adidas #Fashion
344,Nike lançou uma nova coleção #Moda
345,Apple anunciou novos recursos #Tecnologia
346,Galaxy S30 é o melhor celular #Samsung
347,Comprei um tênis novo da Adidas #Fashion
348,Adidas com ofertas incríveis hoje #Sale
349,Adidas com ofertas incríveis hoje #Sale
350,Amei o novo iPhone! #Apple
351,Desconto de 50% em eletrônicos #Promoção
352,Comprei um tênis novo da Adidas #Fashion
353,Não gostei do atendimento da loja #Reclamação
354,Comprei um tênis novo da Adidas #Fashion
355,Amei o novo iPhone! #Apple
356,Nike lançou uma nova coleção #Moda
357,Promoção imperdível da Nike! #Desconto
358,Comprei um tênis novo da Adidas #Fashion
359,Nike lançou uma nova coleção #Moda
360,Promoção imperdível da Nike! #Desconto
361,Adidas com ofertas incríveis hoje #Sale
362,Desconto de 50% em eletrônicos #Promoção
363,Galaxy S30 é o melhor celular #Samsung
364,Nike lançou uma nova coleção #Moda
365,Não gostei do atendimento da loja #Reclamação
366,Apple anunciou novos recursos #Tecnologia
367,Amei o novo iPhone! #Apple
368,Não gostei do atendimento da loja #Reclamação
369,Nike lançou uma nova coleção #Moda
370,Galaxy S30 é o melhor celular #Samsung
371,Galaxy S30 é o melhor celular #Samsung
372,Galaxy S30 é o melhor celular #Samsung
373,Nike lançou uma nova coleção #Moda
374,Não gostei do atendimento da loja #Reclamação
375,Nike lançou uma nova coleção #Moda
376,Amei o novo iPhone! #Apple
377,Nike lançou uma nova coleção #Moda
